"numOfPoints","duration","displacement","directionVector_x","directionVector_y","segmentStartPoint_x","segmentStartPoint_y","segmentEndPoint_x","segmentEndPoint_y"
"2","0.03130197525024414","0.0","0.0","0.0","1866.0","548.0","1866.0","548.0"
"2","0.030692577362060547","0.0","0.0","0.0","1866.0","548.0","1866.0","548.0"
"2","0.031147480010986328","0.0","0.0","0.0","1866.0","548.0","1866.0","548.0"
"2","0.05296492576599121","0.0","0.0","0.0","1866.0","548.0","1866.0","548.0"
"2","0.03297829627990723","0.0","0.0","0.0","1866.0","548.0","1866.0","548.0"
"2","0.03297877311706543","0.0","0.0","0.0","1866.0","548.0","1866.0","548.0"
"2","0.03297996520996094","0.0","0.0","0.0","1866.0","548.0","1866.0","548.0"
"2","0.048969268798828125","0.0","0.0","0.0","1866.0","548.0","1866.0","548.0"
"2","0.04197359085083008","0.0","0.0","0.0","1866.0","548.0","1866.0","548.0"
"2","0.03597879409790039","0.0","0.0","0.0","1866.0","548.0","1866.0","548.0"
"2","0.08194899559020996","0.0","0.0","0.0","1866.0","548.0","1866.0","548.0"
"2","0.043973445892333984","0.0","0.0","0.0","1866.0","548.0","1866.0","548.0"
"2","0.039975643157958984","0.0","0.0","0.0","1866.0","548.0","1866.0","548.0"
"2","0.03197956085205078","0.0","0.0","0.0","1866.0","548.0","1866.0","548.0"
"2","0.03297877311706543","0.0","0.0","0.0","1866.0","548.0","1866.0","548.0"
"12","0.35948920249938965","293.0682514364188","-292.0","-25.0","1864.0","548.0","1572.0","523.0"
"2","0.03188037872314453","0.0","0.0","0.0","1571.0","523.0","1571.0","523.0"
"2","0.03098320960998535","3.1622776601683795","-3.0","-1.0","1571.0","523.0","1568.0","522.0"
"2","0.03121781349182129","0.0","0.0","0.0","1567.0","522.0","1567.0","522.0"
"2","0.031981706619262695","1.0","-1.0","0.0","1567.0","522.0","1566.0","522.0"
"2","0.03101515769958496","1.0","0.0","-1.0","1566.0","522.0","1566.0","521.0"
"2","0.031382083892822266","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.03151249885559082","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.030764341354370117","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.030980587005615234","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.03140449523925781","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.030806303024291992","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.031891584396362305","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.03098011016845703","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.033980369567871094","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.03497791290283203","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.037976980209350586","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.030933380126953125","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.03157377243041992","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.030980825424194336","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.03162264823913574","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.031008005142211914","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.034026384353637695","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.032012939453125","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.030927419662475586","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"2","0.03070068359375","0.0","0.0","0.0","1564.0","520.0","1564.0","520.0"
"3","0.06502485275268555","5.0","0.0","-5.0","1564.0","514.0","1564.0","509.0"
"2","0.031033992767333984","0.0","0.0","0.0","1564.0","509.0","1564.0","509.0"
"2","0.03079056739807129","1.4142135623730951","1.0","-1.0","1564.0","509.0","1565.0","508.0"
"2","0.047972679138183594","4.123105625617661","4.0","-1.0","1567.0","507.0","1571.0","506.0"
"2","0.030988216400146484","0.0","0.0","0.0","1571.0","506.0","1571.0","506.0"
"2","0.032135725021362305","0.0","0.0","0.0","1571.0","506.0","1571.0","506.0"
"2","0.03187203407287598","0.0","0.0","0.0","1571.0","506.0","1571.0","506.0"
"3","0.06345272064208984","5.0","4.0","-3.0","1571.0","506.0","1575.0","503.0"
"2","0.03166079521179199","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.030979633331298828","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.031023740768432617","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.030736923217773438","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.031103849411010742","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03121209144592285","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03129863739013672","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.030980348587036133","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.031108379364013672","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.030966758728027344","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03109145164489746","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03165698051452637","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.030714035034179688","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03132057189941406","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.030904054641723633","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03168511390686035","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.031780242919921875","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03184056282043457","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.031278371810913086","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.030980587005615234","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.0314786434173584","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03142905235290527","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03098440170288086","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03179454803466797","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.030979156494140625","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.04197502136230469","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03697800636291504","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03198099136352539","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03188753128051758","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03197741508483887","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.031982421875","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.030981063842773438","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03398013114929199","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.031978607177734375","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03198122978210449","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03397679328918457","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.030980825424194336","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.030982255935668945","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.030980348587036133","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03497934341430664","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.05296802520751953","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03397846221923828","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.033977508544921875","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03298044204711914","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03797769546508789","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03797721862792969","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.036977291107177734","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03297877311706543","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.030982494354248047","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.031317949295043945","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03162813186645508","0.0","0.0","0.0","1576.0","503.0","1576.0","503.0"
"2","0.03125286102294922","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.03131556510925293","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.03200411796569824","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.03162741661071777","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.030772686004638672","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.03150439262390137","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.031090974807739258","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.030747175216674805","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.031562089920043945","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.031114578247070312","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.030945301055908203","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.03093576431274414","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.03797793388366699","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.03098130226135254","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.030980348587036133","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.031648874282836914","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.03150749206542969","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.032509565353393555","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.03157520294189453","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.030979633331298828","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.03197884559631348","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.030980587005615234","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.031613826751708984","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.030982017517089844","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.030982494354248047","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.030979633331298828","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.030979394912719727","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.03597545623779297","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.03398251533508301","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.031675100326538086","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.03149771690368652","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.030979633331298828","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.03115081787109375","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.03142833709716797","0.0","0.0","0.0","1576.0","502.0","1576.0","502.0"
"2","0.031980037689208984","0.0","0.0","0.0","1576.0","505.0","1576.0","505.0"
