"clickcount","duration","numOfSegments","numOfPoints"
"0","4.194828271865845","40","128"
"0","56.816681146621704","854","1751"
"0","16.722269296646118","210","514"
"0","32.0986864566803","466","983"
"0","20.236053943634033","296","626"
"0","9.897598028182983","139","306"
"0","8.115537166595459","93","246"
"0","13.907172441482544","185","429"
"0","15.189250469207764","207","468"
"0","56.499409437179565","791","1742"
"0","4.354443788528442","46","131"
"0","8.98038935661316","118","276"
"0","3.999497890472412","59","122"
"0","27.766105890274048","404","856"
"0","50.88162016868591","758","1564"
"0","6.334632873535156","71","188"
"0","19.414530992507935","280","597"
"0","16.982468843460083","245","524"
"0","14.784090042114258","172","452"
"1","61.9437255859375","940","1911"
"0","5.255028486251831","70","163"
"0","15.110669136047363","200","470"
"0","6.118200778961182","84","189"
"0","10.402531147003174","137","314"
"0","11.558865070343018","148","357"
"0","25.01675820350647","359","771"
"0","40.271241903305054","593","1244"
"0","8.979236602783203","124","275"
"0","22.746131658554077","339","702"
"0","11.752557277679443","148","361"
"0","17.614516735076904","252","550"
"0","14.8135507106781","199","455"
"0","13.550416469573975","167","414"
"0","8.865153789520264","100","274"
"0","16.881640195846558","237","523"
"0","16.641403198242188","226","508"
"0","5.566281795501709","70","168"
"0","8.892120122909546","122","271"
"0","6.80855655670166","86","207"
"0","7.596981048583984","106","232"
"0","9.805118322372437","101","300"
"0","15.647490501403809","219","483"
"0","19.43459987640381","268","604"
"0","20.598577737808228","297","623"
"0","12.637725114822388","167","387"
"0","12.603225469589233","150","393"
"0","31.488399267196655","459","976"
"0","2.5069329738616943","30","75"
"0","3.3856959342956543","30","103"
"0","2.9579594135284424","24","87"
"0","12.909417629241943","160","386"
"2","4.5591959953308105","46","139"
"0","4.902081489562988","71","150"
"0","10.464877367019653","139","320"
"0","2.4814093112945557","36","73"
"0","3.8313605785369873","44","118"
"0","6.9931840896606445","85","214"
"0","6.7073140144348145","93","207"
"0","17.899355173110962","261","553"
"0","5.528975963592529","54","169"
"0","11.690244197845459","118","361"
"0","5.42273473739624","60","167"
"0","9.654725074768066","109","298"
"0","9.843862533569336","109","295"
"0","23.73151683807373","328","736"
"0","8.48748254776001","98","260"
"0","14.869844675064087","196","460"
"0","10.089076519012451","125","313"
"0","3.36179780960083","30","95"
"0","8.698126077651978","114","268"
"0","5.156821250915527","68","158"
"0","6.041175365447998","82","187"
"0","4.731236457824707","65","147"
"0","9.8056640625","139","303"
"0","2.5212316513061523","19","75"
"0","24.612552642822266","241","750"
"4","10.563880920410156","115","322"
"0","9.251988649368286","118","285"
"0","3.5814146995544434","43","113"
"0","1.4946675300598145","20","41"
"0","0.8769023418426514","14","28"
"0","2.4996531009674072","25","74"
"0","3.8709399700164795","46","115"
"0","2.921276092529297","34","92"
"0","2.6582846641540527","34","81"
"0","3.0546603202819824","40","96"
"0","3.588130474090576","54","109"
"0","2.3906643390655518","32","65"
"0","3.8760993480682373","32","119"
"0","15.339253664016724","186","475"
"1","2.449314832687378","31","75"
"0","2.9255900382995605","28","86"
"0","4.188528776168823","56","130"
"0","3.266050100326538","36","100"
"0","14.356740951538086","191","443"
"0","2.387138843536377","30","71"
"0","3.0134456157684326","41","90"
"0","2.9816129207611084","44","90"
"0","2.4972410202026367","39","78"
"0","2.677724838256836","39","82"
"0","3.816606044769287","58","117"
"0","3.2329792976379395","49","99"
"0","2.3948357105255127","35","71"
"0","2.1899828910827637","34","68"
"0","2.052016496658325","32","65"
"0","2.4054369926452637","37","74"
"0","2.88602352142334","43","89"
"0","6.379802703857422","77","196"
"0","2.9525344371795654","33","91"
"0","21.127939701080322","289","653"
"0","14.843652248382568","201","454"
"0","3.98087477684021","40","120"
"0","3.343273878097534","47","95"
"0","4.048778772354126","61","122"
"0","2.4194414615631104","35","70"
"0","6.116877317428589","71","187"
"0","4.062049627304077","61","126"
"0","4.293533802032471","64","129"
"0","3.4714815616607666","45","107"
"0","4.137867212295532","44","127"
"0","4.840129375457764","60","151"
"0","5.759063005447388","44","177"
"0","5.760202646255493","61","174"
"0","3.490640878677368","29","105"
"0","85.31801390647888","1157","2620"
"1","15.783541917800903","211","486"
"0","4.904227018356323","35","144"
